cell_id	global_mCH	global_mCG	#non_clonal_reads	coverage	global_mCCC	#contact	clusters	subclusters
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD006	0.06566772854512305	0.8247183809508549	2482223	34516357	0.017056490003173597	42197	Sst	Sst-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD007	0.05443196318912822	0.7862881217881974	2578468	34727664	0.014407793351145717	60079	L5	L5-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD008	0.045531246511606546	0.7665405830584688	2396511	33207472	0.013211399684668551	44974	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD010	0.03723530848719225	0.7785976803498783	2425691	33111582	0.011096797390095755	52688	L2/3	L2/3-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD012	0.048804022290969445	0.766447841475691	2552187	34688833	0.013458034328391785	63719	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD001	0.06104132564495088	0.7958828425045125	1968530	27875631	0.01662756319306283	38175	L5	L5-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD002	0.01145461832875162	0.7521301983647124	2058845	28029821	0.008341299752499438	51390	ODC	ODC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD004	0.06697281329501986	0.8053462384120303	2324946	31902853	0.017993222460822692	57356	L5	L5-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD006	0.011471397248235078	0.7855246794211169	3011956	41309820	0.008960420779006493	67803	OPC	OPC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD007	0.062055139911436796	0.7866708942144247	1482082	20698523	0.016590640858402946	30806	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD008	0.06977743524258045	0.7830624132413743	2277861	31731971	0.01859610335655018	49178	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD010	0.04432551185409811	0.7785754075265282	2384453	33147030	0.013047395374740065	48534	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A7_AD012	0.008074062403534874	0.7373120907137704	2410107	32811973	0.007412833082869753	56462	MG	MG-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A8_AD002	0.056694158420119094	0.7850274381896747	2263689	31266594	0.014557329033726757	57925	L4	L4-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A8_AD004	0.04246368945815253	0.8117507601156283	2595352	35940218	0.012497963626163566	52692	Sst	Sst-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A8_AD006	0.059166536431767856	0.7718326897599121	2696062	37393729	0.015453702260239942	56495	L6	L6-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A8_AD007	0.05700016809948149	0.7455899697373273	2296601	30375786	0.01752361260266374	80638	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A8_AD010	0.05596662878909226	0.8077799481195519	2152810	29917811	0.014877396040592185	52176	Ndnf	Ndnf-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A8_AD012	0.008288056506493688	0.7305663678809974	2443307	33287020	0.007392307510540547	61760	Endo	Endo-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A9_AD001	0.08570213153743465	0.8149772294468309	1818036	25460497	0.023171067069269243	39874	Ndnf	Ndnf-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A9_AD002	0.011840673057634924	0.7586989376957397	2254657	30837076	0.009283920102518793	58817	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A9_AD004	0.058552574361129976	0.8130463257757873	2157906	30220586	0.015271361059176465	42155	Pvalb	Pvalb-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A9_AD006	0.016783650602801844	0.7687484873533177	2626084	35615306	0.011846173328594022	66777	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A9_AD007	0.06037884835315161	0.7599977016018779	1976252	27950650	0.015932522023340397	35767	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A9_AD008	0.08607059881101164	0.8279332594095064	2062568	29247423	0.022705810366001326	36184	Ndnf	Ndnf-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A9_AD010	0.012334353685843	0.7541328616048494	2418352	33408933	0.009095520434086207	57295	ODC	ODC-1
